image_stem,texture_score,perc_bleached,median_whiteness_score,mean_whiteness_score,severity
C4_Gy_PM_T3_27nov24_CGomez_corr,-0.114999614129983,4.487279144154231,0.2314254440873999,0.17979696844626428,0.08586222770018843
C4_Gy_PP_T1_27nov24_CDaza_corr,-1.2708492012012567,3.2509877184185263,-0.34456891131281964,-0.1022001885654718,-0.4913794623457767
C4_Gy_PP_T2_27nov24_CDaza_corr,-0.9853486883928624,7.562849827402942,-0.23656924231565582,-0.02179138612741116,-0.3658075031388223
C4_Gy_PP_T3_27nov24_CDaza_corr,-0.7494661738882948,0.4197747597469691,-0.5021398929826497,-0.4701199642249545,-0.4381415047442081
C4_Gy_PSa_T1_27nov24_CDaza_corr,-0.5286185883021886,29.84256745333214,0.15100986980969627,0.13333464853102964,-0.05831819168399022
C4_Gy_PSa_T3_27nov24_CDaza_corr,-0.5707621434818624,8.239760321759828,-0.26353616893689585,-0.19313218178709735,-0.27467553355781776
C4_Gy_PSb_T1_27nov24_CGomez_corr,-2.6536789957133338,0.23271252746112675,-0.2499674255148675,-0.33285982099657974,-0.7930348249032191
C4_Gy_PSb_T2_27nov24_CGomez_corr,0.24228909154872122,100.0,0.42080273046627575,0.46313779447228665,0.2699181681359588
C4_Gy_PSb_T3_27nov24_CGomez_corr,-0.03962054981454344,43.55890676021698,-0.1309653888209368,-0.1603808917870977,-0.074984362090682
C4_PB_PM_T2_19nov24_CGomez_Corr,0.21105532839963792,0.6336577758657775,-0.5413697300392033,-0.7006649876135279,-0.21546787742013768
C4_PB_PM_T3_19nov24_CGomez_Corr,0.20846762456918433,6.375831612569052,-0.6230982636037807,-0.9067053387715767,-0.25668090475306593
C4_PB_PP_T1_19nov24_CGomez_Corr,0.12745053015536667,0.0,-0.7019893060984574,-0.7959104756632815,-0.3162573965442339
C4_PB_PP_T3_19nov24_CGomez_Corr,-0.5994546557505849,0.0,-0.6885586986629328,-0.6462703177003766,-0.4928412623326377
C4_PB_PSA_T2_19nov24_HBenavides_Corr,0.18784913780596263,92.90985596245378,1.2262091713877092,1.2524008138497769,0.6559055940857625
C4_PB_PSb_T1_19nov24_HBenavides_Corr,0.03125666601053942,7.529656986390143,-0.48995498940832405,-0.5728457705850545,-0.23527786408961585
C4_PB_PSb_T2_19nov24_HBenavides_Corr,0.0760059940151302,25.892651118102673,-0.12119269984318906,0.026943075460425348,-0.04098542674773846
C4_PB_PSb_T3_19nov24_HBenavides_Corr,0.3512074082135781,56.33751067215486,0.186337036365997,0.29984359145062034,0.18101404300863266
C5_BC_EM_T1_29nov24_CGomez_corr,0.26150496423012215,26.188635773651004,0.7447749312958301,0.8318831973078408,0.4355450768658596
