image_stem,bleached_percentage,mean_raw_red_z,mean_albedo_z,mean_luminance_z,mean_saturation_z,median_raw_red_z,median_albedo_z,median_luminance_z,median_saturation_z
C2_BC_ESb_T2_29nov24_CGomez_corr,0.516456569955758,-0.05309914621507076,-0.1175087773399138,0.9588118724667029,-0.41590065278499033,-0.19649797419154755,-0.11032222206681148,0.9614070933263059,-0.5779434284307592
C2_BC_ESb_T3_29nov24_CGomez_corr,0.0,-0.13791380358363273,0.18983247385998914,0.9538954686310916,-0.8178004265842939,-0.1993429077562581,0.4500616684496235,0.9745917460147546,-0.6787235309502943
C2_BC_PM_T1_29nov24_CDaza_corr,0.3419607553079174,0.6615090485706764,-0.3120511346343073,-1.27862162475672,0.6423575519733993,1.489748663677462,-1.1587723791807987,-1.9008121075580957,-0.03302363834043669
C2_BC_PM_T2_29nov24_CDaza_corr,0.28519380490926644,0.8015950831322911,-0.36517214776699036,-0.7933196179230019,0.9792773575134038,1.7501249240126762,-0.9932943468963416,-1.2147510118793479,0.501531548935451
C2_BC_PM_T3_29nov24_CDaza_corr,0.38161670929363556,0.12651671530426314,0.23663571607389194,0.617968438532176,1.947382996884834,1.8269282968321152,-0.7847668987901545,0.2368652675147308,1.1543933876572803
C2_BC_PP_T1_29nov24_HBenavides_corr,0.09224386828696933,0.7555716053885818,-0.7012297885074994,-0.48504244607843133,-0.020209021448340848,1.1442548673637234,-0.8580558991684571,-0.5887395077505664,0.005689976006794866
C2_BC_PP_T2_29nov24_HBenavides_corr,0.01827769477350627,0.5277537791214125,-0.7262348682290409,-0.28076505745592273,-0.06587015105833649,0.8620514703789746,-0.7276256832504278,-0.4514999965235678,0.07117371102723866
C2_BC_PP_T3_29nov24_HBenavides_corr,0.2375301039808434,-0.5229598572317705,-0.02121865054103442,-0.16694788090292886,0.6605524115680292,0.4366616882197389,-0.8941692870488609,-0.4465354085313999,0.1420505417843208
C2_BC_PSa_T1_29nov24_CDaza_corr,0.11846361812737065,-0.6902756727753881,-0.5637232106049473,0.3350089352560187,-0.057282951080630494,-0.7338702169308686,-0.1527944990593896,0.3506576286266409,-0.2565486293754667
C2_BC_PSa_T2_29nov24_CDaza_corr,0.0,-0.6534826735533605,-1.1920494499512004,-1.6297348629097008,-1.1127310192982935,-0.5539172600040208,-0.8634099696315753,-1.5876054398424506,-0.9446764690663386
C2_BC_PSa_T3_29nov24_CDaza_corr,0.0,0.9417847722134943,-1.2562856282870314,0.1270868258718539,1.069896515886085,0.5664346633597025,-0.5515039043280252,0.20035929914830497,1.2502223961553294
C2_BC_PSb_T1_29nov24_HBenavides_corr,0.2366800086283345,1.5466933855119742,-1.5011211430194875,-2.4832330505231943,-0.8904827682848131,1.531613867716027,-1.0005627885961423,-2.2396548853304026,-0.24317014845370447
C2_BC_PSb_T2_29nov24_HBenavides_corr,0.9923354661565793,0.6113759739915144,-1.0382058155686635,-1.1708757714855926,-0.3302368252630985,1.7029373772066898,-0.8478767820875646,-1.1203167409405712,-0.21648066778806582
C2_BC_PSb_T3_29nov24_HBenavides_corr,0.11397395176547127,1.5835795866969933,-1.0760228683214663,-1.156993616620092,-0.7389443229569106,1.467491314564048,-0.7844498807554917,-0.9527100244536051,-0.17814056176043253
C2_Gr_PM_T1_30nov24_CGomez_corr,1.0,-0.6785905855461386,-0.06835516478905826,0.5778425986053185,-0.0575655515286627,-0.37657384896521806,0.40906331111685273,0.6367905977496474,0.11613169617013877
C2_Gr_PM_T2_30nov24_CGomez_corr,0.1951350292089888,-0.6130870264908426,-0.16130242202755787,0.05172996977734373,-0.5955563314597553,-0.5550806774241973,-0.1539503296776603,-0.01887952394212308,-0.5991672710935322
C2_Gr_PM_T3_30nov24_CGomez_corr,0.9148503482482752,-0.10077412790113234,0.6191607306823022,0.9663787721152418,0.8486589015015968,-0.11410368310937963,0.991592732066172,0.9309859190744219,1.2619347667950898
C2_Gr_PP_T1_30nov24_HBenavides_corr,0.0,0.25507793517111815,-0.7419839780822585,-0.433400552520644,0.3054517253325622,0.21198998944033776,-0.28554376616139016,-0.2849983860265222,0.5275998653586502
C2_Gr_PP_T2_30nov24_HBenavides_corr,0.18959831830287033,0.2016305291042711,-1.0627060306436151,-0.7010929224562116,-0.38354932422275767,0.14157773006644309,-0.7073674811306611,-0.7180550846566197,-0.519270399991391
C2_Gr_PP_T3_30nov24_HBenavides_corr,0.8189216619148377,0.6300172376361786,0.04370094789026221,0.6228324336107999,1.8475472102638295,0.6219056438630683,0.3505923334425402,0.5776780533080371,2.0835403763442035
C2_Gr_PSa_T1_30nov24_CDaza_corr,0.0,-0.40685982692150474,0.3683208906835536,0.48364402365688364,-0.23759148212732006,-0.30602637995981846,0.44183505045012295,0.5196795630829864,0.13789538825599865
C2_Gr_PSa_T2_30nov24_CDaza_corr,0.3192211852863066,-0.46326095127343453,0.005968511301929889,0.3768010653682643,-0.6399506705587188,-0.65231852768867,0.22513833676253067,0.6292327018246551,-0.5883525688225987
C2_Gr_PSa_T3_30nov24_CDaza_corr,0.2538962258246229,0.6677283197459908,0.3010466734049543,1.8370516176802572,1.6612428648985955,0.5770461610759031,0.629582555437942,1.6757865299967654,1.8956039463085104
C2_Gy_EM_T1_27nov24_CGomez_corr,0.5448277774201261,-0.33921523585655566,-0.22937299896842664,0.8729532263323686,0.40880150495777456,-0.08817354873290462,-0.003872385557964897,1.1044517665853766,0.43761641389496414
C2_Gy_EM_T2_27nov24_CGomez_corr,0.1803127071147797,-0.5055650609613185,0.5234694078144179,-0.03565739355528718,0.03469367174362788,-0.37133816327980673,0.2846243076512012,0.03693559898300392,0.3359236284445227
C2_Gy_EP_T1_27nov24_HBenavides_corr,0.07559383817434248,-0.24063717458867412,0.07245250565543207,-0.22014392532049196,-0.8295309898342298,-0.17008477267705946,-0.5789041157861334,-0.34016224583157717,-0.9604822479566555
C2_Gy_EP_T2_27nov24_HBenavides_corr,0.4246116310795261,0.08093050284486875,-0.8942673470387634,-0.4511347510247062,-0.747139358141759,0.27273045803699114,-0.6989385499326882,-0.4795599574710773,-0.7275793976308267
C2_Gy_EP_T3_27nov24_HBenavides_corr,0.008836993941593655,-0.38266215839906326,-0.2592317657364731,0.05921286127130026,-0.2092294291409859,-0.16184743317223865,-0.19188635705600052,0.14489259779793529,-0.2442140822755988
C2_Gy_ESa_T1_27nov24_HBenavides_corr,0.03971972867910952,-0.04768297980497208,-0.2741931309622976,0.08585616310468475,0.6777415460387798,-0.04298956283012756,-0.3535856896632734,0.18746518419354233,0.8617720567436866
C2_Gy_ESa_T2_27nov24_HBenavides_corr,0.021304322590294876,-0.4577690038280064,0.2621159208695734,1.1938705425735436,0.06230653129620819,-0.6156011230750381,0.5962108380539348,1.1898866382140294,0.19117920112645684
C2_Gy_ESa_T3_27nov24_HBenavides_corr,0.0,4.176753481841761,-1.0635494779622634,-1.3280739112762612,0.6453864393956911,3.2936276809557605,-0.9818377863666513,-1.378867640345009,0.9594298051624428
